"","Experiment","Condition","Pair","Block","TrialN","Animal","Number","Movement","Description","Participant","ParticipantID","Score","WordOrder","Marked"
"26881","Experiment2","100-33",63,"Training",1,2,1,2,"boingla trunko pag","P1","63P1",NA,"VNP",TRUE
"26882","Experiment2","100-33",63,"Training",1,1,1,2,"boingla beeko pag","P2","63P2",NA,"VNP",TRUE
"26883","Experiment2","100-33",63,"Training",2,2,1,1,"wooshla trunko pag","P1","63P1",NA,"VNP",TRUE
"26884","Experiment2","100-33",63,"Training",2,2,1,1,"wooshla trunko pag","P2","63P2",NA,"VNP",TRUE
"26885","Experiment2","100-33",63,"Training",3,6,1,1,"wooshla fino pag","P1","63P1",NA,"VNP",TRUE
"26886","Experiment2","100-33",63,"Training",3,4,2,1,"wooshla bugo tid","P2","63P2",NA,"VNP",TRUE
"26887","Experiment2","100-33",63,"Training",4,5,2,2,"boingla oinko tid","P1","63P1",NA,"VNP",TRUE
"26888","Experiment2","100-33",63,"Training",4,3,2,1,"wooshla hoppo tid","P2","63P2",NA,"VNP",TRUE
"26889","Experiment2","100-33",63,"Training",5,2,2,2,"boingla trunko tid","P1","63P1",NA,"VNP",TRUE
"26890","Experiment2","100-33",63,"Training",5,2,1,2,"boingla trunko","P2","63P2",NA,"VN",FALSE
"26891","Experiment2","100-33",63,"Training",6,3,1,2,"boingla hoppo pag","P1","63P1",NA,"VNP",TRUE
"26892","Experiment2","100-33",63,"Training",6,3,2,2,"boingla hoppo tid","P2","63P2",NA,"VNP",TRUE
"26893","Experiment2","100-33",63,"Training",7,2,2,1,"wooshla trunko tid","P1","63P1",NA,"VNP",TRUE
"26894","Experiment2","100-33",63,"Training",7,5,2,2,"boingla oinko tid","P2","63P2",NA,"VNP",TRUE
"26895","Experiment2","100-33",63,"Training",8,4,2,1,"wooshla bugo tid","P1","63P1",NA,"VNP",TRUE
"26896","Experiment2","100-33",63,"Training",8,6,1,1,"wooshla fino","P2","63P2",NA,"VN",FALSE
"26897","Experiment2","100-33",63,"Training",9,6,1,2,"boingla fino pag","P1","63P1",NA,"VNP",TRUE
"26898","Experiment2","100-33",63,"Training",9,5,2,1,"wooshla oinko tid","P2","63P2",NA,"VNP",TRUE
"26899","Experiment2","100-33",63,"Training",10,4,1,1,"wooshla bugo pag","P1","63P1",NA,"VNP",TRUE
"26900","Experiment2","100-33",63,"Training",10,4,2,2,"boingla bugo tid","P2","63P2",NA,"VNP",TRUE
"26901","Experiment2","100-33",63,"Training",11,3,2,2,"boingla hoppo tid","P1","63P1",NA,"VNP",TRUE
"26902","Experiment2","100-33",63,"Training",11,6,2,2,"boingla fino tid","P2","63P2",NA,"VNP",TRUE
"26903","Experiment2","100-33",63,"Training",12,1,2,2,"boingla beeko tid","P1","63P1",NA,"VNP",TRUE
"26904","Experiment2","100-33",63,"Training",12,6,1,2,"boingla fino pag","P2","63P2",NA,"VNP",TRUE
"26905","Experiment2","100-33",63,"Training",13,5,2,1,"wooshla oinko tid","P1","63P1",NA,"VNP",TRUE
"26906","Experiment2","100-33",63,"Training",13,1,2,2,"boingla beeko tid","P2","63P2",NA,"VNP",TRUE
"26907","Experiment2","100-33",63,"Training",14,1,1,2,"boingla beeko pag","P1","63P1",NA,"VNP",TRUE
"26908","Experiment2","100-33",63,"Training",14,1,2,1,"wooshla beeko tid","P2","63P2",NA,"VNP",TRUE
"26909","Experiment2","100-33",63,"Training",15,3,1,1,"wooshla hoppo pag","P1","63P1",NA,"VNP",TRUE
"26910","Experiment2","100-33",63,"Training",15,5,1,1,"wooshla oinko","P2","63P2",NA,"VN",FALSE
"26911","Experiment2","100-33",63,"Training",16,1,2,1,"wooshla beeko tid","P1","63P1",NA,"VNP",TRUE
"26912","Experiment2","100-33",63,"Training",16,4,1,1,"wooshla bugo","P2","63P2",NA,"VN",FALSE
"26913","Experiment2","100-33",63,"Training",17,3,2,1,"wooshla hoppo tid","P1","63P1",NA,"VNP",TRUE
"26914","Experiment2","100-33",63,"Training",17,2,2,2,"boingla trunko tid","P2","63P2",NA,"VNP",TRUE
"26915","Experiment2","100-33",63,"Training",18,4,2,2,"boingla bugo tid","P1","63P1",NA,"VNP",TRUE
"26916","Experiment2","100-33",63,"Training",18,3,1,1,"wooshla hoppo pag","P2","63P2",NA,"VNP",TRUE
"26917","Experiment2","100-33",63,"Training",19,5,1,1,"wooshla oinko pag","P1","63P1",NA,"VNP",TRUE
"26918","Experiment2","100-33",63,"Training",19,4,1,2,"boingla bugo","P2","63P2",NA,"VN",FALSE
"26919","Experiment2","100-33",63,"Training",20,5,1,2,"boingla oinko pag","P1","63P1",NA,"VNP",TRUE
"26920","Experiment2","100-33",63,"Training",20,2,2,1,"wooshla trunko tid","P2","63P2",NA,"VNP",TRUE
"26921","Experiment2","100-33",63,"Training",21,6,2,2,"boingla fino tid","P1","63P1",NA,"VNP",TRUE
"26922","Experiment2","100-33",63,"Training",21,1,1,1,"wooshla beeko","P2","63P2",NA,"VN",FALSE
"26923","Experiment2","100-33",63,"Training",22,1,1,1,"wooshla beeko pag","P1","63P1",NA,"VNP",TRUE
"26924","Experiment2","100-33",63,"Training",22,3,1,2,"boingla hoppo","P2","63P2",NA,"VN",FALSE
"26925","Experiment2","100-33",63,"Training",23,4,1,2,"boingla bugo pag","P1","63P1",NA,"VNP",TRUE
"26926","Experiment2","100-33",63,"Training",23,6,2,1,"wooshla fino tid","P2","63P2",NA,"VNP",TRUE
